"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21185.0047497046","19295.6051761751","17290.8359587974","17906.0348714761","18304.6815302848","16926.4729634828","16571.520269408","17663.562665778","18240.7418968615","17702.5042889354","17934.7616005435","19407.6540816872","20178.5246085811","22218.0606042329","21623.234768984","21910.3402805166","22220.782690136","22281.7807014059","22634.9856468785","22761.1535577575","22955.2372613294","22416.2309058685","21981.9195272313","22058.8721481813","22144.6068766373","22066.209072122","21795.641469988","21837.5068879636","21562.6624712122","20796.2019205807","20722.1372891347","20516.5883157314","20924.7104304295","21805.1173792575","22395.3060349444","22353.3596020299","22272.9668967477","22167.0782833708","21478.1144253022","20912.9868841525","",
"Bahamas, The","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","17734.6531166301","18673.9250729318","19608.834151723","20609.0994602429","21688.4365832014","22863.758295185","23860.742710002","25082.0636339279","26161.134894406","27535.4159410559","25196.1213938527","24941.526186928","23531.0604194119","24802.672868469","20245.319195344","16903.5867601379","17410.1981448209","18599.9050943612","20775.913970614","25633.3096589175","26701.0741080378","23704.5437881066","24734.4495642108","25066.3315263824","28016.2082325155","28786.3554727303","28759.4219346869","29099.8365458286","29269.0428472396","30706.7056648155","29687.0414461528","27924.1067059818","26348.9730206332","25938.6610259203","26292.1065326069","27018.4756623712","27783.3914767067","28022.8827666431","29017.364185704","30724.1903004612","31570.7464318867","31910.567089742","32236.5412381806","31272.9893950603","30978.7015480089","31442.3708391668","31632.5474942041","31485.6460476736","30191.0391819404","28440.1818600369","28443.4076553352","28248.9864271453","28800.0070001586","27754.8693201859","27785.281087525","27583.4087373028","27705.927063117","28282.518097005","28845.2557704818","28908.5485742501","",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700.700769049613","870.204628306352","1672.5468629729","2264.78779544707","2619.30960306153","2863.84821548928","3015.05970369908","3144.08804446976","3307.31219078418","3437.0575402125","3644.75898258655","3962.81578826491","4177.25960231122","4425.11035482351","4676.50077226167","4558.25641989555","4635.51777931783","4736.61993365646","4770.93162912533","4969.0068594531","5113.67368410914","5352.72045522849","5591.5857400054","5828.71653691876","6096.91949150311","6303.68866498252","",
"Belarus","BLR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3102.3312813345","3063.60005736517","2763.53034517162","2547.76602301976","2252.31699078187","2024.6089250128","2088.26304292158","2336.21265689013","2544.52680024729","2642.13034281536","2808.57494889476","2956.41530461209","3125.40643982263","3369.02930622984","3780.4759965654","4164.18550822824","4608.73674666689","5028.10690244594","5560.14622910331","5583.70185481887","6029.3967998293","6365.3780531651","6478.70481089972","6542.67841209401","6649.64932834342","6384.81714492541","6215.70186550089","6375.28892983321","6586.2977396088","6678.5090648389","",
"Belize","BLZ","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1079.38329873794","1100.6400490298","1122.70719478296","1145.64884804264","1169.02533225297","1191.40864674436","1211.39972621103","1233.19306209562","1285.61100537771","1315.00226326914","1345.27440688335","1369.27859954889","1481.21944481128","1534.61608446008","1715.99321145904","1751.59343880535","1726.54909745287","1813.99199614671","1929.83782808222","2040.54389860995","2268.96227597512","2241.64523053029","2181.08464748443","2075.14036430942","2056.34806912082","2019.55965773149","2053.37839484017","2211.83013876955","2364.45885437801","2607.37747193777","2842.49174735285","3109.07617597248","3426.7127877575","3580.98743976238","3513.53926165509","3446.32400544362","3385.53681443544","3381.45774120228","3375.41541748659","3537.58598915106","3863.54748308275","3921.77712035274","3992.76492394056","4251.27069671707","4340.74719676198","4311.70191964293","4402.68749108416","4311.26606541094","4348.22547442813","4249.30150475318","4270.86434454699","4250.4936169464","4253.09941001094","4212.33173688301","4270.94510387408","4300.55933820061","4216.97726841129","4211.59954966434","4217.20716116883","4149.86190551309","",
"Bermuda","BMU","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","33362.707615503","34079.7638579494","34762.7120871081","34324.4395547188","37201.9857760141","38039.3200522726","42735.4470187247","47477.6600844709","47562.5258125272","48285.9217441288","50400.5271965312","52514.9723908444","53861.4951330548","55067.0258228811","55966.1753016255","58513.3479068202","63503.9537338798","66997.1895639741","67716.8930296209","68914.2896262974","73204.9910865102","74430.6150668558","69989.3703066388","70781.4037124968","70500.7108623469","68511.4727293859","72462.5055542461","74572.9420513405","76935.4800604743","76628.1744616136","76016.3279600362","73708.5624661204","74200.0886497304","76023.7532074937","75951.0010343272","78726.8297148785","80259.6001425412","83440.8691535978","86060.6024271232","88475.2231854987","95861.4216876756","101681.522905881","99529.1981221737","102252.586512649","103944.939002994","105003.182600054","110190.625502305","113236.090907192","110467.717313846","103675.466763517","101875.28407346","98912.9027809322","93327.0312694711","92775.339821166","89153.7559893109","89708.8258715522","90062.1613062341","94309.5848817737","93832.3666163461","94266.8417594258","",
"Bolivia","BOL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1005.40846829543","1006.59361937801","1042.06398569185","1091.03803932041","1111.69101343692","1142.88956209141","1199.98970766408","1249.67790999055","1328.23083299619","1358.65711154152","1399.51518635271","1439.01179749117","1520.26815116056","1572.74363480457","1583.77515091091","1662.4824059324","1701.09253223581","1746.4500775775","1743.38944034553","1708.16915061475","1649.25557614117","1619.79076783857","1524.61410635502","1433.77479852332","1402.22511720748","1350.75407065335","1288.94019019594","1293.28604632107","1303.10776864282","1324.16330760667","1356.53989426828","1398.12301852471","1391.48012400193","1420.74323083921","1456.39455897707","1493.41842022145","1527.11129237597","1570.82492826992","1617.36705484272","1592.73736424147","1601.41660719292","1597.64196040464","1606.90462605275","1620.26361239992","1657.5050756395","1700.18273688142","1750.80299260714","1799.4984888863","1878.11025338357","1909.08452741677","1955.46154376367","2024.11724030504","2094.02415243866","2201.39676993058","2286.01317207209","2361.05653658841","2425.56157524695","2490.95622581417","2559.51119070116","2579.89901190316","",
"Brazil","BRA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","3417.35244190971","3660.39149911126","3740.43327985188","3664.97759840287","3685.49289177482","3692.84578910732","3741.85563623891","3821.46106263661","4147.38172722123","4435.37902964333","4704.31756122819","5108.40338585586","5587.88625565948","6219.51401630692","6623.41550847593","6805.29828755336","7296.34748425015","7453.59017220592","7514.28926301438","7835.0703131317","8349.48782019185","7796.85434394983","7660.57857291715","7230.71610832987","7442.97241093524","7862.70351931771","8316.51680867382","8445.71201168821","8276.32686747308","8389.97872278077","7983.74677607675","7963.11180852077","7791.75742548499","8020.60657401254","8311.56088840077","8540.07687802909","8591.01470912416","8744.84634619226","8641.27530944835","8554.07277616111","8803.15252917931","8804.32948764486","8954.83724534174","8943.82848255785","9346.03934316368","9535.41883036578","9805.72450610977","10293.530341463","10710.8722205603","10594.9865923924","11286.2430162457","11627.8106505917","11745.7759262897","11993.4839848731","11951.2094463497","11431.1544808449","10965.9742614391","11021.7182622703","11079.709675038","11121.7399151021","",
"Barbados","BRB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","11160.3966369162","10881.1878637753","11290.0881654604","11637.6515686505","12143.4557226301","13042.0989430795","13556.1859632162","13251.1902975941","12562.8734030746","12590.8598521123","13007.9805242332","13111.5299516512","13735.5264539666","14041.60158748","14480.0503519618","14944.779328889","14396.2504215593","13783.6238330692","12950.4804363869","13004.3126643777","13214.7697372146","13427.0835291685","13903.8154046636","14501.0757419263","14977.5744794606","14965.7424080517","15570.0421707825","15146.7889908257","15214.4098015909","15494.1694097234","15658.3746240246","16216.5292067617","17102.3183903531","17402.2246142806","17446.2217713416","16492.1167966304","16056.3709766031","15900.0236759993","15787.8040183292","15533.1063398711","15484.9468972176","15836.3824984929","16202.1161947683","16254.2404265057","16136.9099326335","16099.8284121592","",
"Brunei Darussalam","BRN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","45632.2466663368","43937.4687884357","50735.5767258862","54169.989767425","55768.5377360157","66019.8751942031","59413.3946135826","46170.9932631625","46590.0176345573","45496.4992969116","44489.9551564721","42601.6376823434","40284.2803244734","39943.6728806368","39251.6875894504","37740.7782163524","37080.905766838","37171.4749076551","37848.1292503919","36913.6461243111","37052.2679690634","37713.6899412144","37842.9279965812","36409.3719864638","35390.7901840577","35680.9788660012","35931.5965013377","36171.8050676004","36841.2942129897","37212.4669053931","36761.2498220737","36329.4982777345","37399.74000641","36987.8415885984","35844.4160068892","34800.5635264382","35269.5531076448","36121.891977592","35967.3283979567","34729.8266256897","33416.781835931","32873.4669130359","31685.2254544178","31752.740813782","31436.8681969939","32327.4055290563","",
"Bhutan","BTN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","390.064624576047","432.373602513006","435.852341288037","473.140226800641","481.586238679494","488.04363215967","528.860828438986","659.116769385889","671.308206591616","703.747767464415","767.611544791915","759.006910390263","794.100287777394","812.793616964697","854.160153202913","909.926158205033","948.422014303977","980.832275141018","1015.52122606212","1070.97466294271","1119.76412049589","1187.88985850948","1291.97337140733","1366.81993529366","1424.05305747583","1504.45561555708","1588.53136946711","1859.08623424394","1928.76867961222","2038.56141967339","2258.18314115595","2411.02893205206","2504.5058910519","2526.43366495453","2639.60088264112","2780.81953888315","2970.76650663428","3072.02029929191","3128.83549606004","3262.198967599","",
